payment_id,customer_id,amount,timestamp,payment_method,status,failure_reason,attempt_number
PAY_000001,CUST_00001,3788.18,2025-01-21 19:57:00,CARD,SUCCESS,,1
PAY_000002,CUST_00001,3626.04,2025-01-28 19:59:00,CARD,SUCCESS,,1
PAY_000003,CUST_00001,3352.76,2025-02-04 19:35:00,NETBANKING,SUCCESS,,1
PAY_000004,CUST_00001,3926.2,2025-02-11 19:04:00,NETBANKING,SUCCESS,,1
PAY_000005,CUST_00001,3350.62,2025-02-18 19:40:00,NETBANKING,SUCCESS,,1
PAY_000006,CUST_00001,2798.73,2025-02-25 19:38:00,CARD,SUCCESS,,1
PAY_000007,CUST_00001,2686.06,2025-03-04 19:45:00,NETBANKING,SUCCESS,,1
PAY_000008,CUST_00001,3241.72,2025-03-11 19:23:00,UPI,SUCCESS,,1
PAY_000009,CUST_00001,3139.01,2025-03-18 19:07:00,NETBANKING,SUCCESS,,1
PAY_000010,CUST_00001,3313.24,2025-03-25 18:28:00,WALLET,SUCCESS,,1
PAY_000011,CUST_00001,3283.46,2025-04-01 19:59:00,CARD,SUCCESS,,1
PAY_000012,CUST_00001,3796.87,2025-04-08 19:49:00,WALLET,SUCCESS,,1
PAY_000013,CUST_00001,3602.22,2025-04-15 19:13:00,NETBANKING,SUCCESS,,1
PAY_000014,CUST_00001,2649.68,2025-04-22 20:07:00,WALLET,SUCCESS,,1
PAY_000015,CUST_00001,3261.52,2025-04-29 18:21:00,NETBANKING,SUCCESS,,1
PAY_000016,CUST_00001,3407.85,2025-05-06 19:01:00,NETBANKING,FAILED,MANDATE_FAILURE,1
PAY_000017,CUST_00001,3023.13,2025-05-13 19:12:00,NETBANKING,SUCCESS,,1
PAY_000018,CUST_00001,2841.67,2025-05-20 18:17:00,NETBANKING,SUCCESS,,1
PAY_000019,CUST_00001,3323.9,2025-05-27 20:35:00,NETBANKING,SUCCESS,,1
PAY_000020,CUST_00001,2831.4,2025-06-03 19:17:00,NETBANKING,SUCCESS,,1
PAY_000021,CUST_00002,817.15,2025-01-19 07:19:00,UPI,SUCCESS,,1
PAY_000022,CUST_00002,907.84,2025-02-19 07:30:00,UPI,SUCCESS,,1
PAY_000023,CUST_00002,681.35,2025-03-19 08:25:00,UPI,SUCCESS,,1
PAY_000024,CUST_00002,723.08,2025-04-19 09:22:00,WALLET,SUCCESS,,1
PAY_000025,CUST_00002,666.6,2025-05-19 08:36:00,WALLET,SUCCESS,,1
PAY_000026,CUST_00002,826.89,2025-06-19 08:43:00,NETBANKING,SUCCESS,,1
PAY_000027,CUST_00002,905.46,2025-07-19 08:55:00,UPI,SUCCESS,,1
PAY_000028,CUST_00002,894.55,2025-08-19 08:50:00,UPI,SUCCESS,,1
PAY_000029,CUST_00002,735.28,2025-09-19 08:07:00,UPI,SUCCESS,,1
PAY_000030,CUST_00002,665.22,2025-10-19 09:36:00,UPI,SUCCESS,,1
PAY_000031,CUST_00002,828.46,2025-11-19 08:35:00,WALLET,SUCCESS,,1
PAY_000032,CUST_00002,701.58,2025-12-19 08:39:00,UPI,SUCCESS,,1
PAY_000033,CUST_00002,879.89,2026-01-19 08:13:00,UPI,SUCCESS,,1
PAY_000034,CUST_00002,732.39,2026-02-19 09:50:00,UPI,SUCCESS,,1
PAY_000035,CUST_00002,777.55,2026-03-19 09:53:00,UPI,SUCCESS,,1
PAY_000036,CUST_00002,721.7,2026-04-19 08:11:00,UPI,SUCCESS,,1
PAY_000037,CUST_00002,827.07,2026-05-19 08:31:00,UPI,SUCCESS,,1
PAY_000038,CUST_00002,861.46,2026-06-19 09:57:00,CARD,SUCCESS,,1
PAY_000039,CUST_00002,747.33,2026-07-19 09:18:00,UPI,SUCCESS,,1
PAY_000040,CUST_00002,873.77,2026-08-19 08:36:00,UPI,FAILED,UNKNOWN,1
PAY_000041,CUST_00003,594.7,2025-01-14 17:37:00,NETBANKING,SUCCESS,,1
PAY_000042,CUST_00003,701.64,2025-01-21 18:03:00,UPI,SUCCESS,,1
PAY_000043,CUST_00003,882.13,2025-01-28 19:52:00,UPI,SUCCESS,,1
PAY_000044,CUST_00003,720.15,2025-02-04 17:15:00,UPI,SUCCESS,,1
PAY_000045,CUST_00003,705.3,2025-02-11 18:25:00,UPI,SUCCESS,,1
PAY_000046,CUST_00003,648.04,2025-02-18 18:08:00,UPI,FAILED,UNKNOWN,1
PAY_000047,CUST_00003,887.69,2025-02-25 18:18:00,UPI,SUCCESS,,1
PAY_000048,CUST_00003,596.95,2025-03-04 17:41:00,UPI,SUCCESS,,1
PAY_000049,CUST_00003,617.37,2025-03-11 18:08:00,UPI,SUCCESS,,1
PAY_000050,CUST_00003,825.94,2025-03-18 18:57:00,UPI,SUCCESS,,1
PAY_000051,CUST_00003,743.16,2025-03-25 18:29:00,UPI,SUCCESS,,1
PAY_000052,CUST_00003,647.32,2025-04-01 18:14:00,UPI,SUCCESS,,1
PAY_000053,CUST_00003,740.88,2025-04-08 18:45:00,UPI,SUCCESS,,1
PAY_000054,CUST_00003,882.0,2025-04-15 18:02:00,UPI,SUCCESS,,1
PAY_000055,CUST_00003,734.9,2025-04-22 17:37:00,UPI,SUCCESS,,1
PAY_000056,CUST_00003,883.61,2025-04-29 19:54:00,NETBANKING,SUCCESS,,1
PAY_000057,CUST_00003,772.97,2025-05-06 19:56:00,UPI,SUCCESS,,1
PAY_000058,CUST_00003,779.96,2025-05-13 17:43:00,NETBANKING,SUCCESS,,1
PAY_000059,CUST_00003,822.86,2025-05-20 18:34:00,UPI,SUCCESS,,1
PAY_000060,CUST_00003,809.61,2025-05-27 18:36:00,UPI,FAILED,MANDATE_FAILURE,1
PAY_000061,CUST_00004,3876.81,2025-01-10 20:02:00,CARD,SUCCESS,,1
PAY_000062,CUST_00004,2965.33,2025-01-24 21:16:00,CARD,SUCCESS,,1
PAY_000063,CUST_00004,4301.62,2025-02-07 19:42:00,WALLET,SUCCESS,,1
