payment_id,customer_id,amount,failure_reason,payment_method,payment_frequency,preferred_method,typical_payment_hour,attempt_hour,hour_difference,hours_after_failure,attempt_number,action,recovered
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,17,1,1,1,SMART_RETRY,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,22,6,6,1,SMART_RETRY,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,4,12,12,1,SMART_RETRY,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,24,1,SMART_RETRY,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,48,1,SMART_RETRY,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,17,1,1,1,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,22,6,6,1,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,4,12,12,1,PAYMENT_LINK,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,24,1,PAYMENT_LINK,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,48,1,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,17,1,1,1,NUDGE,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,22,6,6,1,NUDGE,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,4,12,12,1,NUDGE,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,24,1,NUDGE,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,48,1,NUDGE,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,17,1,1,2,SMART_RETRY,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,22,6,6,2,SMART_RETRY,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,4,12,12,2,SMART_RETRY,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,24,2,SMART_RETRY,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,48,2,SMART_RETRY,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,17,1,1,2,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,22,6,6,2,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,4,12,12,2,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,24,2,PAYMENT_LINK,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,48,2,PAYMENT_LINK,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,17,1,1,2,NUDGE,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,22,6,6,2,NUDGE,1
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,4,12,12,2,NUDGE,0
PAY_015993,CUST_00800,3567.75,INSUFFICIENT_FUNDS,WALLET,biweekly,WALLET,16,16,0,24,2,NUDGE,1
