timestamp,payment_id,customer_id,amount,failure_reason,smart_retry_probability,payment_link_probability,nudge_probability,selected_action,selected_probability,expected_recovery,selected_timing_hours,attempt_number,policy_allowed,policy_reason,outcome,recovered_amount
2026-09-05 00:59:25,PAY_008809,CUST_00441,739.29,UNKNOWN,0.27141827607163255,0.37872694428669024,0.25169497463922846,PAYMENT_LINK,0.37872694428669024,278.9890426417072,48,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 01:07:18,PAY_008809,CUST_00441,739.29,UNKNOWN,0.27141827607163255,0.37872694428669007,0.2516949746392285,PAYMENT_LINK,0.37872694428669007,278.9890426417071,48,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 21:27:15,PAY_008809,CUST_00441,739.29,UNKNOWN,0.2714182760716326,0.3787269442866901,0.2516949746392286,PAYMENT_LINK,0.3787269442866901,278.9890426417071,48,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 21:28:13,PAY_008809,CUST_00441,739.29,UNKNOWN,0.2714182760716326,0.37872694428669,0.25169497463922863,PAYMENT_LINK,0.37872694428669,278.98904264170704,48,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 22:01:22,PAY_008809,CUST_00441,739.29,UNKNOWN,0.2714182760716326,0.37872694428669007,0.25169497463922863,PAYMENT_LINK,0.37872694428669007,278.9890426417071,48,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 22:55:12,PAY_009120,CUST_00456,986.98,INSUFFICIENT_FUNDS,0.6045888259213427,0.6448549375715406,0.7432334048210706,NUDGE,0.7432334048210706,733.3565058903002,1,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 22:55:28,PAY_010420,CUST_00521,1346.39,MANDATE_FAILURE,0.3777161620299264,0.6930548387421309,0.4816859398039691,PAYMENT_LINK,0.6930548387421309,932.1221043340178,24,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 22:55:28,PAY_010420,CUST_00521,1346.39,MANDATE_FAILURE,0.37771616202992625,0.6930548387421307,0.4816859398039691,PAYMENT_LINK,0.6930548387421307,932.1221043340174,24,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 23:13:34,PAY_000040,CUST_00002,873.77,UNKNOWN,0.3571343354365469,0.39566206501474227,0.23542312779991403,PAYMENT_LINK,0.39566206501474227,344.71764254793135,24,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 23:13:34,PAY_000040,CUST_00002,873.77,UNKNOWN,0.35713433543654705,0.3956620650147423,0.23542312779991398,PAYMENT_LINK,0.3956620650147423,344.7176425479314,24,1,True,Action satisfies all policy rules.,NOT_RECOVERED,0.0
2026-09-05 23:16:33,PAY_010420,CUST_00521,1346.39,MANDATE_FAILURE,0.37771616202992647,0.6930548387421311,0.4816859398039691,PAYMENT_LINK,0.6930548387421311,932.122104334018,24,1,True,Action satisfies all policy rules.,RECOVERED,1346.39
2026-09-05 23:16:33,PAY_010420,CUST_00521,1346.39,MANDATE_FAILURE,0.3777161620299264,0.6930548387421308,0.48168593980396923,PAYMENT_LINK,0.6930548387421308,932.1221043340175,24,1,True,Action satisfies all policy rules.,RECOVERED,1346.39
